letterboxd_title,letterboxd_year,rating,liked,tmdb_id,tmdb_title,genres,runtime,release_year,original_language,director,tmdb_vote_avg,tmdb_vote_count,tmdb_popularity,budget,imdb_rating,imdb_votes,rt_score,awards,country
2001: A Space Odyssey,1968,2.5,0,62,2001: A Space Odyssey,Science Fiction|Mystery|Adventure,149,1968,en,Stanley Kubrick,8.054,12468,15.1343,12000000,8.3,772787,90,1,United Kingdom
"Paris, Texas",1984,4.0,1,655,"Paris, Texas",Drama,145,1984,en,Wim Wenders,8.098,2183,6.3621,1750000,8.1,139064,95,1,West Germany
Step Brothers,2008,0.5,0,12133,Step Brothers,Comedy,98,2008,en,Adam McKay,6.56,3361,5.9786,65000000,6.9,337892,54,1,United States
The Intouchables,2011,0.5,0,77338,The Intouchables,Drama|Comedy,113,2011,fr,Olivier Nakache,8.269,18280,13.0394,13000000,8.5,1017608,75,1,France
Bullet Train,2022,1.5,0,718930,Bullet Train,Action|Comedy|Thriller,126,2022,en,David Leitch,7.413,7393,13.2067,90000000,7.3,519374,52,1,United States
Léon: The Professional,1994,1.0,0,101,Léon: The Professional,Crime|Drama|Action,111,1994,fr,Luc Besson,8.295,15944,21.2246,16000000,8.5,1340323,76,1,France
Django Unchained,2012,1.0,0,68718,Django Unchained,Drama|Western,165,2012,en,Quentin Tarantino,8.2,27816,13.8904,100000000,8.5,1864939,87,1,United States
Pulp Fiction,1994,2.5,0,680,Pulp Fiction,Thriller|Crime|Comedy,154,1994,en,Quentin Tarantino,8.486,29968,33.4552,8000000,8.8,2410498,92,1,United States
The Descendants,2011,2.0,0,65057,The Descendants,Comedy|Drama,115,2011,en,Alexander Payne,6.836,3038,3.2333,20000000,7.3,258506,88,1,United States
Uncharted,2022,0.5,0,335787,Uncharted,Action|Adventure,116,2022,en,Ruben Fleischer,6.869,6697,10.0513,120000000,6.3,296293,,1,Spain
Tenet,2020,1.5,0,577922,Tenet,Action|Thriller|Science Fiction,150,2020,en,Christopher Nolan,7.173,10982,12.5334,205000000,7.3,679078,70,1,United States
Forrest Gump,1994,2.0,0,13,Forrest Gump,Comedy|Drama|Romance,142,1994,en,Robert Zemeckis,8.464,29499,26.5143,55000000,8.8,2477413,75,1,United States
The Grand Budapest Hotel,2014,3.0,0,120467,The Grand Budapest Hotel,Comedy|Drama,100,2014,en,Wes Anderson,8.0,15939,12.4795,30000000,8.1,956421,92,1,United States
Taxi Driver,1976,4.0,1,103,Taxi Driver,Crime|Drama,114,1976,en,Martin Scorsese,8.128,13311,13.943,1900000,8.2,1016941,89,1,United States
Prisoners,2013,3.5,1,146233,Prisoners,Drama|Thriller|Crime,153,2013,en,Denis Villeneuve,8.1,12912,11.6553,46000000,8.2,922474,81,1,United States
Memories of Murder,2003,3.5,1,11423,Memories of Murder,Crime|Drama|Thriller,131,2003,ko,Bong Joon Ho,8.056,4503,10.7504,2800000,8.1,262200,,1,South Korea
In the Mood for Love,2000,3.0,0,843,In the Mood for Love,Drama|Romance,99,2000,cn,Wong Kar-Wai,8.1,3203,9.589,3000000,8.0,184505,92,1,Hong Kong
Se7en,1995,3.5,1,807,Se7en,Crime|Mystery|Thriller,127,1995,en,David Fincher,8.4,22868,25.5013,33000000,8.6,1995504,84,1,United States
Fight Club,1999,3.0,0,550,Fight Club,Drama|Thriller,139,1999,en,David Fincher,8.439,31761,25.4419,63000000,8.8,2567948,81,1,United States
Joker,2019,1.5,0,475557,Joker,Crime|Thriller|Drama,122,2019,en,Todd Phillips,8.126,27520,21.1528,55000000,8.3,1675451,68,1,United States
Kill Bill: Vol. 1,2003,3.0,0,24,Kill Bill: Vol. 1,Action|Crime,111,2003,en,Quentin Tarantino,8.0,18760,14.3964,30000000,8.2,1295392,85,1,United States
The Godfather,1972,3.0,0,238,The Godfather,Drama|Crime,175,1972,en,Francis Ford Coppola,8.7,22726,41.8499,6000000,9.2,2205717,97,1,United States
The Godfather Part II,1974,4.0,1,240,The Godfather Part II,Drama|Crime,202,1974,en,Francis Ford Coppola,8.572,13768,25.1852,13000000,9.0,1478804,96,1,United States
The Prestige,2006,2.5,0,1124,The Prestige,Drama|Mystery|Science Fiction,130,2006,en,Christopher Nolan,8.207,17408,16.8518,40000000,8.5,1573561,77,1,United Kingdom
Les Misérables,2019,2.5,0,586863,Les Misérables,Crime|Drama|Thriller,104,2019,fr,Ladj Ly,7.567,1598,2.937,2500000,7.6,30195,,1,France
Uncut Gems,2019,2.5,0,473033,Uncut Gems,Drama|Thriller|Crime,136,2019,en,Josh Safdie,7.16,5313,5.9995,19000000,7.4,351556,91,1,United States
Fantastic Mr. Fox,2009,3.0,0,10315,Fantastic Mr. Fox,Adventure|Animation|Comedy|Family,87,2009,en,Wes Anderson,7.822,6026,6.5897,40000000,7.9,296911,93,1,United States
The Social Network,2010,3.0,0,37799,The Social Network,Drama,121,2010,en,David Fincher,7.372,13048,9.9831,40000000,7.8,812001,96,1,United States
TÁR,2022,4.0,1,817758,TÁR,Music|Drama,158,2022,en,Todd Field,7.102,1499,3.6673,35000000,7.4,108148,,1,United States
The Shining,1980,2.5,0,694,The Shining,Horror|Thriller,144,1980,en,Stanley Kubrick,8.205,18767,15.8288,19000000,8.4,1216349,84,1,United Kingdom
Inglourious Basterds,2009,2.5,0,16869,Inglourious Basterds,Drama|Thriller|War,153,2009,en,Quentin Tarantino,8.2,23984,15.6963,70000000,8.4,1762277,89,1,United States
Jackie Brown,1997,3.0,0,184,Jackie Brown,Crime|Drama|Thriller,154,1997,en,Quentin Tarantino,7.358,6882,6.5727,12000000,7.5,400150,88,1,United States
Once Upon a Time... in Hollywood,2019,2.0,0,466272,Once Upon a Time... in Hollywood,Comedy|Drama|Thriller,162,2019,en,Quentin Tarantino,7.424,14713,16.7719,95000000,7.6,951384,86,1,United States
The Hateful Eight,2015,1.5,0,273248,The Hateful Eight,Drama|Mystery|Western,188,2015,en,Quentin Tarantino,7.757,15161,8.9771,44000000,7.8,718072,74,1,United States
Reservoir Dogs,1992,2.5,0,500,Reservoir Dogs,Crime|Thriller,99,1992,en,Quentin Tarantino,8.116,15322,10.4135,1200000,8.3,1164336,90,1,United States
Au Hasard Balthazar,1966,3.0,0,20108,Au Hasard Balthazar,Drama,96,1966,fr,Robert Bresson,7.524,504,1.787,0,7.7,23450,100,1,France
Dune: Part Two,2024,2.5,0,693134,Dune: Part Two,Science Fiction|Adventure,167,2024,en,Denis Villeneuve,8.1,7767,23.517,190000000,8.4,713701,92,1,United States
Die Hard,1988,3.0,0,562,Die Hard,Action|Thriller,132,1988,en,John McTiernan,7.808,12161,13.284,28000000,8.2,1021784,94,1,United States
The Godfather Part III,1990,1.0,0,242,The Godfather Part III,Crime|Drama|Thriller,162,1990,en,Francis Ford Coppola,7.419,6793,11.6382,54000000,7.5,451848,66,1,United States
First Blood,1982,3.0,0,1368,First Blood,Action|Adventure|Thriller|War,93,1982,en,Ted Kotcheff,7.5,6820,10.1108,15000000,7.7,299053,86,1,United States
The 400 Blows,1959,4.0,1,147,The 400 Blows,Drama,99,1959,fr,François Truffaut,8.0,2312,3.3912,0,8.0,133834,99,1,France
Guy Ritchie's The Covenant,2023,1.0,0,882569,Guy Ritchie's The Covenant,War|Action|Thriller,123,2023,en,Guy Ritchie,7.717,3113,9.9965,55000000,,,,,
Top Gun: Maverick,2022,1.0,0,361743,Top Gun: Maverick,Action|Drama,131,2022,en,Joseph Kosinski,8.152,10748,21.011,170000000,8.2,845767,96,1,United States
Catch Me If You Can,2002,2.5,0,640,Catch Me If You Can,Drama|Crime,141,2002,en,Steven Spielberg,7.977,16929,12.5873,52000000,8.1,1221144,96,1,United States
Saving Private Ryan,1998,2.0,0,857,Saving Private Ryan,War|Drama|History,169,1998,en,Steven Spielberg,8.223,17044,15.4029,70000000,8.6,1624514,94,1,United States
Wheel of Fortune and Fantasy,2021,3.5,1,795811,Wheel of Fortune and Fantasy,Drama|Romance,121,2021,ja,Ryusuke Hamaguchi,7.207,355,2.8029,0,7.5,11207,99,1,Japan
Fargo,1996,2.5,0,275,Fargo,Crime|Drama|Thriller,98,1996,en,Joel Coen,7.85,9004,9.1025,7000000,8.1,780547,94,1,United Kingdom
Coming to America,1988,2.0,0,9602,Coming to America,Comedy|Romance,117,1988,en,John Landis,6.876,4695,7.0648,30000000,7.1,238307,73,1,United States
Scarface,1983,3.0,0,111,Scarface,Action|Crime|Drama,170,1983,en,Brian De Palma,8.155,12879,17.1314,25000000,8.3,1005376,79,1,United States
Monster,2023,4.0,1,1203484,Monster,Thriller|Horror,84,2023,xx,Rako Prijanto,5.009,57,0.8036,0,7.8,40489,97,1,Japan
The Handmaiden,2016,2.5,0,290098,The Handmaiden,Thriller|Drama|Romance,145,2016,ko,Park Chan-wook,8.189,4255,16.9223,8575000,8.1,199145,96,1,South Korea
Moolaadé,2004,4.0,1,39504,Moolaadé,Drama,124,2004,bm,Ousmane Sembène,7.2,74,0.8954,0,7.6,4215,99,1,Senegal
Spirited Away,2001,3.5,1,129,Spirited Away,Animation|Family|Fantasy,125,2001,ja,Hayao Miyazaki,8.533,18147,32.084,19000000,8.6,954145,96,1,Japan
Fallen Angels,1995,3.0,0,11220,Fallen Angels,Action|Romance|Crime,98,1995,cn,Wong Kar-Wai,7.7,1272,8.0398,0,7.5,56485,95,1,Hong Kong
Perfect Days,2023,2.0,0,976893,Perfect Days,Drama,124,2023,ja,Wim Wenders,7.789,1854,8.128,14000000,7.9,101049,96,1,Japan
Vertigo,1958,3.5,1,426,Vertigo,Mystery|Romance|Thriller,128,1958,en,Alfred Hitchcock,8.147,6274,6.8977,2479000,8.2,456449,93,1,United States
Chungking Express,1994,4.0,1,11104,Chungking Express,Drama|Comedy|Romance,103,1994,cn,Wong Kar-Wai,8.0,2153,9.5396,160000,7.9,108698,89,1,Hong Kong
GoodFellas,1990,4.0,1,769,GoodFellas,Drama|Crime,145,1990,en,Martin Scorsese,8.453,14190,25.1852,25000000,8.7,1378825,93,1,United States
Taipei Story,1985,3.0,0,106380,Taipei Story,Drama,120,1985,zh,Edward Yang,7.4,131,2.1611,0,7.6,4465,100,1,Taiwan
Magnolia,1999,3.5,1,334,Magnolia,Drama,189,1999,en,Paul Thomas Anderson,7.733,3963,6.3659,37000000,8.0,341915,82,1,United States
